17:29:03 --- Epoch: 0	Train loss: 0.6970	Valid loss: 0.2036	Train accuracy: 93.56	Valid accuracy: 93.85
17:29:39 --- Epoch: 1	Train loss: 0.1475	Valid loss: 0.0994	Train accuracy: 96.79	Valid accuracy: 96.80
17:30:16 --- Epoch: 2	Train loss: 0.0836	Valid loss: 0.0622	Train accuracy: 97.94	Valid accuracy: 98.02
17:30:52 --- Epoch: 3	Train loss: 0.0598	Valid loss: 0.0509	Train accuracy: 98.60	Valid accuracy: 98.37
17:31:28 --- Epoch: 4	Train loss: 0.0479	Valid loss: 0.0437	Train accuracy: 98.89	Valid accuracy: 98.64
17:32:05 --- Epoch: 5	Train loss: 0.0400	Valid loss: 0.0461	Train accuracy: 98.84	Valid accuracy: 98.46
17:32:41 --- Epoch: 6	Train loss: 0.0351	Valid loss: 0.0360	Train accuracy: 99.21	Valid accuracy: 98.92
17:33:17 --- Epoch: 7	Train loss: 0.0300	Valid loss: 0.0413	Train accuracy: 99.29	Valid accuracy: 98.71
17:33:53 --- Epoch: 8	Train loss: 0.0268	Valid loss: 0.0406	Train accuracy: 99.24	Valid accuracy: 98.71
17:34:29 --- Epoch: 9	Train loss: 0.0232	Valid loss: 0.0351	Train accuracy: 99.56	Valid accuracy: 98.98
17:35:05 --- Epoch: 10	Train loss: 0.0203	Valid loss: 0.0414	Train accuracy: 99.45	Valid accuracy: 98.90
17:35:40 --- Epoch: 11	Train loss: 0.0177	Valid loss: 0.0338	Train accuracy: 99.68	Valid accuracy: 98.95
17:36:16 --- Epoch: 12	Train loss: 0.0163	Valid loss: 0.0451	Train accuracy: 99.52	Valid accuracy: 98.70
17:36:52 --- Epoch: 13	Train loss: 0.0150	Valid loss: 0.0418	Train accuracy: 99.69	Valid accuracy: 98.90
17:37:28 --- Epoch: 14	Train loss: 0.0132	Valid loss: 0.0442	Train accuracy: 99.67	Valid accuracy: 98.80
17:38:05 --- Epoch: 15	Train loss: 0.0127	Valid loss: 0.0453	Train accuracy: 99.62	Valid accuracy: 98.86
17:38:41 --- Epoch: 16	Train loss: 0.0109	Valid loss: 0.0435	Train accuracy: 99.68	Valid accuracy: 98.95
17:39:17 --- Epoch: 17	Train loss: 0.0097	Valid loss: 0.0382	Train accuracy: 99.78	Valid accuracy: 99.03
17:39:54 --- Epoch: 18	Train loss: 0.0092	Valid loss: 0.0438	Train accuracy: 99.75	Valid accuracy: 98.89
17:40:30 --- Epoch: 19	Train loss: 0.0094	Valid loss: 0.0380	Train accuracy: 99.82	Valid accuracy: 99.00
17:41:06 --- Epoch: 20	Train loss: 0.0077	Valid loss: 0.0524	Train accuracy: 99.69	Valid accuracy: 98.88
17:41:42 --- Epoch: 21	Train loss: 0.0079	Valid loss: 0.0441	Train accuracy: 99.88	Valid accuracy: 98.98
17:42:19 --- Epoch: 22	Train loss: 0.0068	Valid loss: 0.0424	Train accuracy: 99.83	Valid accuracy: 99.01
17:42:55 --- Epoch: 23	Train loss: 0.0076	Valid loss: 0.0435	Train accuracy: 99.86	Valid accuracy: 99.12
17:43:30 --- Epoch: 24	Train loss: 0.0071	Valid loss: 0.0608	Train accuracy: 99.83	Valid accuracy: 98.76
17:44:06 --- Epoch: 25	Train loss: 0.0058	Valid loss: 0.0518	Train accuracy: 99.87	Valid accuracy: 98.98
17:44:42 --- Epoch: 26	Train loss: 0.0054	Valid loss: 0.0517	Train accuracy: 99.83	Valid accuracy: 98.84
17:45:18 --- Epoch: 27	Train loss: 0.0056	Valid loss: 0.0507	Train accuracy: 99.80	Valid accuracy: 98.97
17:45:53 --- Epoch: 28	Train loss: 0.0055	Valid loss: 0.0502	Train accuracy: 99.89	Valid accuracy: 98.97
17:46:30 --- Epoch: 29	Train loss: 0.0058	Valid loss: 0.0539	Train accuracy: 99.86	Valid accuracy: 98.92
