17:34:30 --- Epoch: 0	Train loss: 0.2345	Valid loss: 0.1305	Train accuracy: 96.15	Valid accuracy: 96.24
17:34:58 --- Epoch: 1	Train loss: 0.1139	Valid loss: 0.0992	Train accuracy: 97.21	Valid accuracy: 96.91
17:35:28 --- Epoch: 2	Train loss: 0.0842	Valid loss: 0.0770	Train accuracy: 97.97	Valid accuracy: 97.56
17:35:56 --- Epoch: 3	Train loss: 0.0684	Valid loss: 0.0681	Train accuracy: 98.34	Valid accuracy: 97.90
17:36:24 --- Epoch: 4	Train loss: 0.0582	Valid loss: 0.0609	Train accuracy: 98.56	Valid accuracy: 97.98
17:36:52 --- Epoch: 5	Train loss: 0.0513	Valid loss: 0.0568	Train accuracy: 98.76	Valid accuracy: 98.12
17:37:20 --- Epoch: 6	Train loss: 0.0455	Valid loss: 0.0535	Train accuracy: 98.91	Valid accuracy: 98.27
17:37:49 --- Epoch: 7	Train loss: 0.0414	Valid loss: 0.0519	Train accuracy: 99.03	Valid accuracy: 98.31
17:38:18 --- Epoch: 8	Train loss: 0.0378	Valid loss: 0.0492	Train accuracy: 99.08	Valid accuracy: 98.42
17:38:48 --- Epoch: 9	Train loss: 0.0350	Valid loss: 0.0477	Train accuracy: 99.18	Valid accuracy: 98.41
17:39:17 --- Epoch: 10	Train loss: 0.0323	Valid loss: 0.0472	Train accuracy: 99.24	Valid accuracy: 98.44
17:39:45 --- Epoch: 11	Train loss: 0.0301	Valid loss: 0.0446	Train accuracy: 99.29	Valid accuracy: 98.56
17:40:14 --- Epoch: 12	Train loss: 0.0282	Valid loss: 0.0459	Train accuracy: 99.32	Valid accuracy: 98.48
17:40:42 --- Epoch: 13	Train loss: 0.0266	Valid loss: 0.0449	Train accuracy: 99.40	Valid accuracy: 98.52
17:41:10 --- Epoch: 14	Train loss: 0.0249	Valid loss: 0.0435	Train accuracy: 99.46	Valid accuracy: 98.56
17:41:38 --- Epoch: 15	Train loss: 0.0234	Valid loss: 0.0432	Train accuracy: 99.48	Valid accuracy: 98.64
17:42:06 --- Epoch: 16	Train loss: 0.0222	Valid loss: 0.0403	Train accuracy: 99.53	Valid accuracy: 98.71
17:42:35 --- Epoch: 17	Train loss: 0.0210	Valid loss: 0.0432	Train accuracy: 99.53	Valid accuracy: 98.64
17:43:04 --- Epoch: 18	Train loss: 0.0198	Valid loss: 0.0406	Train accuracy: 99.57	Valid accuracy: 98.73
17:43:33 --- Epoch: 19	Train loss: 0.0188	Valid loss: 0.0410	Train accuracy: 99.62	Valid accuracy: 98.72
17:44:01 --- Epoch: 20	Train loss: 0.0179	Valid loss: 0.0409	Train accuracy: 99.65	Valid accuracy: 98.70
17:44:32 --- Epoch: 21	Train loss: 0.0169	Valid loss: 0.0400	Train accuracy: 99.69	Valid accuracy: 98.76
17:45:00 --- Epoch: 22	Train loss: 0.0161	Valid loss: 0.0390	Train accuracy: 99.68	Valid accuracy: 98.72
17:45:28 --- Epoch: 23	Train loss: 0.0154	Valid loss: 0.0390	Train accuracy: 99.71	Valid accuracy: 98.69
17:45:56 --- Epoch: 24	Train loss: 0.0146	Valid loss: 0.0400	Train accuracy: 99.74	Valid accuracy: 98.78
17:46:24 --- Epoch: 25	Train loss: 0.0140	Valid loss: 0.0397	Train accuracy: 99.78	Valid accuracy: 98.72
17:46:52 --- Epoch: 26	Train loss: 0.0134	Valid loss: 0.0395	Train accuracy: 99.80	Valid accuracy: 98.74
17:47:21 --- Epoch: 27	Train loss: 0.0127	Valid loss: 0.0391	Train accuracy: 99.79	Valid accuracy: 98.80
17:47:50 --- Epoch: 28	Train loss: 0.0122	Valid loss: 0.0392	Train accuracy: 99.82	Valid accuracy: 98.73
17:48:18 --- Epoch: 29	Train loss: 0.0116	Valid loss: 0.0397	Train accuracy: 99.82	Valid accuracy: 98.66
