18:47:13 --- Epoch: 0	Train loss: 0.2300	Valid loss: 0.0897	Train accuracy: 97.33	Valid accuracy: 97.26
18:47:42 --- Epoch: 1	Train loss: 0.0789	Valid loss: 0.0814	Train accuracy: 97.84	Valid accuracy: 97.57
18:48:10 --- Epoch: 2	Train loss: 0.0555	Valid loss: 0.0572	Train accuracy: 98.53	Valid accuracy: 98.22
18:48:39 --- Epoch: 3	Train loss: 0.0447	Valid loss: 0.0483	Train accuracy: 99.01	Valid accuracy: 98.53
18:49:08 --- Epoch: 4	Train loss: 0.0358	Valid loss: 0.0447	Train accuracy: 99.24	Valid accuracy: 98.55
18:49:37 --- Epoch: 5	Train loss: 0.0294	Valid loss: 0.0531	Train accuracy: 99.01	Valid accuracy: 98.33
18:50:05 --- Epoch: 6	Train loss: 0.0255	Valid loss: 0.0484	Train accuracy: 99.30	Valid accuracy: 98.44
18:50:34 --- Epoch: 7	Train loss: 0.0221	Valid loss: 0.0474	Train accuracy: 99.43	Valid accuracy: 98.63
18:51:03 --- Epoch: 8	Train loss: 0.0198	Valid loss: 0.0439	Train accuracy: 99.60	Valid accuracy: 98.75
18:51:32 --- Epoch: 9	Train loss: 0.0168	Valid loss: 0.0454	Train accuracy: 99.67	Valid accuracy: 98.75
18:52:00 --- Epoch: 10	Train loss: 0.0152	Valid loss: 0.0514	Train accuracy: 99.50	Valid accuracy: 98.56
18:52:29 --- Epoch: 11	Train loss: 0.0144	Valid loss: 0.0449	Train accuracy: 99.69	Valid accuracy: 98.70
18:52:58 --- Epoch: 12	Train loss: 0.0145	Valid loss: 0.0477	Train accuracy: 99.64	Valid accuracy: 98.66
18:53:26 --- Epoch: 13	Train loss: 0.0113	Valid loss: 0.0475	Train accuracy: 99.65	Valid accuracy: 98.74
18:53:55 --- Epoch: 14	Train loss: 0.0124	Valid loss: 0.0499	Train accuracy: 99.58	Valid accuracy: 98.57
18:54:24 --- Epoch: 15	Train loss: 0.0116	Valid loss: 0.0432	Train accuracy: 99.72	Valid accuracy: 98.80
18:54:52 --- Epoch: 16	Train loss: 0.0083	Valid loss: 0.0449	Train accuracy: 99.81	Valid accuracy: 98.83
18:55:21 --- Epoch: 17	Train loss: 0.0114	Valid loss: 0.0484	Train accuracy: 99.78	Valid accuracy: 98.76
18:55:50 --- Epoch: 18	Train loss: 0.0097	Valid loss: 0.0521	Train accuracy: 99.71	Valid accuracy: 98.70
18:56:18 --- Epoch: 19	Train loss: 0.0082	Valid loss: 0.0534	Train accuracy: 99.66	Valid accuracy: 98.63
18:56:47 --- Epoch: 20	Train loss: 0.0083	Valid loss: 0.0436	Train accuracy: 99.86	Valid accuracy: 98.89
18:57:15 --- Epoch: 21	Train loss: 0.0090	Valid loss: 0.0561	Train accuracy: 99.75	Valid accuracy: 98.63
18:57:44 --- Epoch: 22	Train loss: 0.0081	Valid loss: 0.0496	Train accuracy: 99.79	Valid accuracy: 98.67
18:58:13 --- Epoch: 23	Train loss: 0.0078	Valid loss: 0.0472	Train accuracy: 99.88	Valid accuracy: 98.84
18:58:41 --- Epoch: 24	Train loss: 0.0083	Valid loss: 0.0540	Train accuracy: 99.69	Valid accuracy: 98.68
18:59:10 --- Epoch: 25	Train loss: 0.0080	Valid loss: 0.0496	Train accuracy: 99.83	Valid accuracy: 98.83
18:59:39 --- Epoch: 26	Train loss: 0.0063	Valid loss: 0.0595	Train accuracy: 99.68	Valid accuracy: 98.62
19:00:07 --- Epoch: 27	Train loss: 0.0064	Valid loss: 0.0476	Train accuracy: 99.88	Valid accuracy: 98.79
19:00:36 --- Epoch: 28	Train loss: 0.0053	Valid loss: 0.0451	Train accuracy: 99.84	Valid accuracy: 98.84
19:01:04 --- Epoch: 29	Train loss: 0.0073	Valid loss: 0.0597	Train accuracy: 99.81	Valid accuracy: 98.68
