17:29:00 --- Epoch: 0	Train loss: 0.9815	Valid loss: 0.3866	Train accuracy: 89.07	Valid accuracy: 89.67
17:29:34 --- Epoch: 1	Train loss: 0.3280	Valid loss: 0.2633	Train accuracy: 91.86	Valid accuracy: 92.33
17:30:08 --- Epoch: 2	Train loss: 0.2362	Valid loss: 0.1890	Train accuracy: 94.08	Valid accuracy: 94.13
17:30:42 --- Epoch: 3	Train loss: 0.1749	Valid loss: 0.1386	Train accuracy: 95.61	Valid accuracy: 95.80
17:31:15 --- Epoch: 4	Train loss: 0.1309	Valid loss: 0.1026	Train accuracy: 96.70	Valid accuracy: 96.74
17:31:49 --- Epoch: 5	Train loss: 0.1007	Valid loss: 0.0817	Train accuracy: 97.35	Valid accuracy: 97.45
17:32:22 --- Epoch: 6	Train loss: 0.0800	Valid loss: 0.0667	Train accuracy: 97.68	Valid accuracy: 97.77
17:32:56 --- Epoch: 7	Train loss: 0.0705	Valid loss: 0.0628	Train accuracy: 98.22	Valid accuracy: 98.05
17:33:30 --- Epoch: 8	Train loss: 0.0615	Valid loss: 0.0487	Train accuracy: 98.45	Valid accuracy: 98.29
17:34:04 --- Epoch: 9	Train loss: 0.0702	Valid loss: 0.3040	Train accuracy: 90.76	Valid accuracy: 90.05
17:34:38 --- Epoch: 10	Train loss: 0.0710	Valid loss: 0.0596	Train accuracy: 98.33	Valid accuracy: 98.01
17:35:11 --- Epoch: 11	Train loss: 0.0760	Valid loss: 0.0425	Train accuracy: 98.83	Valid accuracy: 98.61
17:35:45 --- Epoch: 12	Train loss: 0.0615	Valid loss: 0.0452	Train accuracy: 98.91	Valid accuracy: 98.62
17:36:19 --- Epoch: 13	Train loss: 0.0981	Valid loss: 0.0501	Train accuracy: 98.88	Valid accuracy: 98.39
17:36:53 --- Epoch: 14	Train loss: 0.1230	Valid loss: 0.4173	Train accuracy: 91.69	Valid accuracy: 91.15
17:37:27 --- Epoch: 15	Train loss: 0.0748	Valid loss: 2.0849	Train accuracy: 74.41	Valid accuracy: 73.96
17:38:01 --- Epoch: 16	Train loss: 0.1254	Valid loss: 0.0467	Train accuracy: 99.13	Valid accuracy: 98.56
17:38:35 --- Epoch: 17	Train loss: 0.0833	Valid loss: 0.0468	Train accuracy: 99.01	Valid accuracy: 98.61
17:39:08 --- Epoch: 18	Train loss: 0.1280	Valid loss: 0.0558	Train accuracy: 98.62	Valid accuracy: 98.32
17:39:42 --- Epoch: 19	Train loss: 0.0556	Valid loss: 0.0451	Train accuracy: 99.08	Valid accuracy: 98.60
17:40:16 --- Epoch: 20	Train loss: 0.0641	Valid loss: 0.0856	Train accuracy: 97.94	Valid accuracy: 97.74
17:40:50 --- Epoch: 21	Train loss: 0.1025	Valid loss: 0.4842	Train accuracy: 87.89	Valid accuracy: 87.65
17:41:24 --- Epoch: 22	Train loss: 0.0562	Valid loss: 0.0656	Train accuracy: 98.53	Valid accuracy: 97.99
17:41:57 --- Epoch: 23	Train loss: 0.0474	Valid loss: 0.0548	Train accuracy: 98.86	Valid accuracy: 98.28
17:42:31 --- Epoch: 24	Train loss: 0.0622	Valid loss: 0.0759	Train accuracy: 98.00	Valid accuracy: 97.55
17:43:05 --- Epoch: 25	Train loss: 0.0493	Valid loss: 0.0636	Train accuracy: 98.60	Valid accuracy: 98.07
17:43:39 --- Epoch: 26	Train loss: 0.0548	Valid loss: 0.0873	Train accuracy: 97.66	Valid accuracy: 97.20
17:44:13 --- Epoch: 27	Train loss: 0.0592	Valid loss: 0.0617	Train accuracy: 98.60	Valid accuracy: 98.16
17:44:47 --- Epoch: 28	Train loss: 0.0561	Valid loss: 0.0737	Train accuracy: 98.21	Valid accuracy: 97.72
17:45:21 --- Epoch: 29	Train loss: 0.0610	Valid loss: 0.0654	Train accuracy: 98.48	Valid accuracy: 97.97
