17:51:31 --- Epoch: 0	Train loss: 0.2014	Valid loss: 0.1061	Train accuracy: 96.59	Valid accuracy: 97.05
17:52:08 --- Epoch: 1	Train loss: 0.1014	Valid loss: 0.0993	Train accuracy: 96.90	Valid accuracy: 96.95
17:52:45 --- Epoch: 2	Train loss: 0.0871	Valid loss: 0.0783	Train accuracy: 97.56	Valid accuracy: 97.51
17:53:22 --- Epoch: 3	Train loss: 0.0784	Valid loss: 0.0755	Train accuracy: 97.72	Valid accuracy: 97.78
17:53:58 --- Epoch: 4	Train loss: 0.0762	Valid loss: 0.0697	Train accuracy: 98.14	Valid accuracy: 97.93
17:54:35 --- Epoch: 5	Train loss: 0.0728	Valid loss: 0.0834	Train accuracy: 97.86	Valid accuracy: 97.58
17:55:10 --- Epoch: 6	Train loss: 0.0690	Valid loss: 0.0527	Train accuracy: 98.37	Valid accuracy: 98.44
17:55:46 --- Epoch: 7	Train loss: 0.0675	Valid loss: 0.0910	Train accuracy: 97.67	Valid accuracy: 97.46
17:56:23 --- Epoch: 8	Train loss: 0.0665	Valid loss: 0.0754	Train accuracy: 97.76	Valid accuracy: 97.63
17:56:58 --- Epoch: 9	Train loss: 0.0661	Valid loss: 0.0587	Train accuracy: 98.24	Valid accuracy: 98.10
17:57:34 --- Epoch: 10	Train loss: 0.0635	Valid loss: 0.0810	Train accuracy: 97.86	Valid accuracy: 97.66
17:58:11 --- Epoch: 11	Train loss: 0.0635	Valid loss: 0.0539	Train accuracy: 98.38	Valid accuracy: 98.30
17:58:47 --- Epoch: 12	Train loss: 0.0625	Valid loss: 0.0556	Train accuracy: 98.43	Valid accuracy: 98.19
17:59:23 --- Epoch: 13	Train loss: 0.0612	Valid loss: 0.0772	Train accuracy: 97.95	Valid accuracy: 97.78
17:59:59 --- Epoch: 14	Train loss: 0.0660	Valid loss: 0.0529	Train accuracy: 98.62	Valid accuracy: 98.32
18:00:36 --- Epoch: 15	Train loss: 0.0595	Valid loss: 0.0454	Train accuracy: 98.77	Valid accuracy: 98.58
18:01:13 --- Epoch: 16	Train loss: 0.0604	Valid loss: 0.0489	Train accuracy: 98.82	Valid accuracy: 98.52
18:01:50 --- Epoch: 17	Train loss: 0.0626	Valid loss: 0.0559	Train accuracy: 98.47	Valid accuracy: 98.40
18:02:27 --- Epoch: 18	Train loss: 0.0614	Valid loss: 0.0655	Train accuracy: 98.35	Valid accuracy: 98.15
18:03:04 --- Epoch: 19	Train loss: 0.0629	Valid loss: 0.0678	Train accuracy: 98.07	Valid accuracy: 97.94
18:03:42 --- Epoch: 20	Train loss: 0.0596	Valid loss: 0.0620	Train accuracy: 98.61	Valid accuracy: 98.19
18:04:18 --- Epoch: 21	Train loss: 0.0591	Valid loss: 0.0553	Train accuracy: 98.64	Valid accuracy: 98.30
18:04:55 --- Epoch: 22	Train loss: 0.0597	Valid loss: 0.0482	Train accuracy: 98.70	Valid accuracy: 98.42
18:05:31 --- Epoch: 23	Train loss: 0.0597	Valid loss: 0.0942	Train accuracy: 97.67	Valid accuracy: 97.21
18:06:08 --- Epoch: 24	Train loss: 0.0614	Valid loss: 0.0726	Train accuracy: 98.16	Valid accuracy: 97.82
18:06:45 --- Epoch: 25	Train loss: 0.0586	Valid loss: 0.0650	Train accuracy: 98.29	Valid accuracy: 98.18
18:07:22 --- Epoch: 26	Train loss: 0.0619	Valid loss: 0.0829	Train accuracy: 98.08	Valid accuracy: 97.82
18:07:58 --- Epoch: 27	Train loss: 0.0588	Valid loss: 0.0601	Train accuracy: 98.50	Valid accuracy: 98.28
18:08:35 --- Epoch: 28	Train loss: 0.0600	Valid loss: 0.0748	Train accuracy: 98.19	Valid accuracy: 97.71
18:09:12 --- Epoch: 29	Train loss: 0.0591	Valid loss: 0.0757	Train accuracy: 98.07	Valid accuracy: 97.72
