18:49:42 --- Epoch: 0	Train loss: 0.3014	Valid loss: 0.2241	Train accuracy: 93.08	Valid accuracy: 92.97
18:50:11 --- Epoch: 1	Train loss: 0.2098	Valid loss: 0.1980	Train accuracy: 94.11	Valid accuracy: 94.24
18:50:39 --- Epoch: 2	Train loss: 0.1898	Valid loss: 0.1431	Train accuracy: 95.52	Valid accuracy: 95.93
18:51:08 --- Epoch: 3	Train loss: 0.1762	Valid loss: 0.1592	Train accuracy: 95.28	Valid accuracy: 95.18
18:51:37 --- Epoch: 4	Train loss: 0.1682	Valid loss: 0.1472	Train accuracy: 95.50	Valid accuracy: 95.52
18:52:06 --- Epoch: 5	Train loss: 0.1645	Valid loss: 0.1421	Train accuracy: 95.74	Valid accuracy: 96.08
18:52:35 --- Epoch: 6	Train loss: 0.1599	Valid loss: 0.1322	Train accuracy: 95.81	Valid accuracy: 95.95
18:53:03 --- Epoch: 7	Train loss: 0.1536	Valid loss: 0.1461	Train accuracy: 95.93	Valid accuracy: 95.99
18:53:32 --- Epoch: 8	Train loss: 0.1586	Valid loss: 0.1359	Train accuracy: 95.97	Valid accuracy: 96.14
18:54:01 --- Epoch: 9	Train loss: 0.1548	Valid loss: 0.1341	Train accuracy: 96.19	Valid accuracy: 96.03
18:54:30 --- Epoch: 10	Train loss: 0.1659	Valid loss: 0.1501	Train accuracy: 95.81	Valid accuracy: 95.91
18:54:59 --- Epoch: 11	Train loss: 0.1546	Valid loss: 0.1472	Train accuracy: 95.60	Valid accuracy: 95.79
18:55:28 --- Epoch: 12	Train loss: 0.1618	Valid loss: 0.1460	Train accuracy: 95.71	Valid accuracy: 95.65
18:55:56 --- Epoch: 13	Train loss: 0.1555	Valid loss: 0.1226	Train accuracy: 96.17	Valid accuracy: 96.35
18:56:25 --- Epoch: 14	Train loss: 0.1557	Valid loss: 0.1266	Train accuracy: 96.56	Valid accuracy: 96.77
18:56:54 --- Epoch: 15	Train loss: 0.1536	Valid loss: 0.1491	Train accuracy: 95.94	Valid accuracy: 95.81
18:57:23 --- Epoch: 16	Train loss: 0.1495	Valid loss: 0.1344	Train accuracy: 96.18	Valid accuracy: 96.14
18:57:52 --- Epoch: 17	Train loss: 0.1489	Valid loss: 0.1339	Train accuracy: 95.92	Valid accuracy: 96.16
18:58:20 --- Epoch: 18	Train loss: 0.1431	Valid loss: 0.1355	Train accuracy: 95.90	Valid accuracy: 96.02
18:58:49 --- Epoch: 19	Train loss: 0.1507	Valid loss: 0.1796	Train accuracy: 94.46	Valid accuracy: 94.61
18:59:18 --- Epoch: 20	Train loss: 0.1673	Valid loss: 0.1658	Train accuracy: 95.55	Valid accuracy: 95.23
18:59:47 --- Epoch: 21	Train loss: 0.1529	Valid loss: 0.1188	Train accuracy: 96.50	Valid accuracy: 96.58
19:00:15 --- Epoch: 22	Train loss: 0.1470	Valid loss: 0.1332	Train accuracy: 96.20	Valid accuracy: 96.31
19:00:44 --- Epoch: 23	Train loss: 0.1549	Valid loss: 0.1539	Train accuracy: 95.38	Valid accuracy: 95.78
19:01:13 --- Epoch: 24	Train loss: 0.1535	Valid loss: 0.1633	Train accuracy: 95.25	Valid accuracy: 95.32
19:01:43 --- Epoch: 25	Train loss: 0.1783	Valid loss: 0.1524	Train accuracy: 95.27	Valid accuracy: 95.64
19:02:12 --- Epoch: 26	Train loss: 0.1556	Valid loss: 0.1350	Train accuracy: 96.26	Valid accuracy: 96.42
19:02:41 --- Epoch: 27	Train loss: 0.1748	Valid loss: 0.1484	Train accuracy: 95.12	Valid accuracy: 95.61
19:03:10 --- Epoch: 28	Train loss: 0.1482	Valid loss: 0.1330	Train accuracy: 96.29	Valid accuracy: 96.25
19:03:39 --- Epoch: 29	Train loss: 0.1521	Valid loss: 0.1561	Train accuracy: 95.69	Valid accuracy: 95.47
