17:01:01 --- Epoch: 0	Train loss: 1.1244	Valid loss: 0.4039	Train accuracy: 88.54	Valid accuracy: 89.23
17:01:28 --- Epoch: 1	Train loss: 0.3433	Valid loss: 0.2755	Train accuracy: 91.47	Valid accuracy: 92.02
17:01:55 --- Epoch: 2	Train loss: 0.2496	Valid loss: 0.2012	Train accuracy: 93.76	Valid accuracy: 93.99
17:02:22 --- Epoch: 3	Train loss: 0.1889	Valid loss: 0.1543	Train accuracy: 95.24	Valid accuracy: 95.42
17:02:49 --- Epoch: 4	Train loss: 0.1478	Valid loss: 0.1220	Train accuracy: 96.14	Valid accuracy: 96.32
17:03:16 --- Epoch: 5	Train loss: 0.1201	Valid loss: 0.1011	Train accuracy: 96.86	Valid accuracy: 96.98
17:03:43 --- Epoch: 6	Train loss: 0.1011	Valid loss: 0.0854	Train accuracy: 97.40	Valid accuracy: 97.49
17:04:10 --- Epoch: 7	Train loss: 0.0875	Valid loss: 0.0787	Train accuracy: 97.68	Valid accuracy: 97.56
17:04:37 --- Epoch: 8	Train loss: 0.0772	Valid loss: 0.0688	Train accuracy: 97.91	Valid accuracy: 97.75
17:05:04 --- Epoch: 9	Train loss: 0.0694	Valid loss: 0.0631	Train accuracy: 98.18	Valid accuracy: 98.10
17:05:31 --- Epoch: 10	Train loss: 0.0633	Valid loss: 0.0612	Train accuracy: 98.25	Valid accuracy: 98.06
17:05:57 --- Epoch: 11	Train loss: 0.0583	Valid loss: 0.0542	Train accuracy: 98.46	Valid accuracy: 98.19
17:06:24 --- Epoch: 12	Train loss: 0.0539	Valid loss: 0.0527	Train accuracy: 98.53	Valid accuracy: 98.34
17:06:51 --- Epoch: 13	Train loss: 0.0506	Valid loss: 0.0519	Train accuracy: 98.63	Valid accuracy: 98.38
17:07:18 --- Epoch: 14	Train loss: 0.0473	Valid loss: 0.0486	Train accuracy: 98.74	Valid accuracy: 98.42
17:07:45 --- Epoch: 15	Train loss: 0.0446	Valid loss: 0.0444	Train accuracy: 98.82	Valid accuracy: 98.56
17:08:12 --- Epoch: 16	Train loss: 0.0424	Valid loss: 0.0437	Train accuracy: 98.85	Valid accuracy: 98.53
17:08:39 --- Epoch: 17	Train loss: 0.0401	Valid loss: 0.0446	Train accuracy: 98.86	Valid accuracy: 98.59
17:09:06 --- Epoch: 18	Train loss: 0.0380	Valid loss: 0.0408	Train accuracy: 99.03	Valid accuracy: 98.61
17:09:33 --- Epoch: 19	Train loss: 0.0364	Valid loss: 0.0415	Train accuracy: 99.02	Valid accuracy: 98.65
17:10:00 --- Epoch: 20	Train loss: 0.0350	Valid loss: 0.0396	Train accuracy: 99.07	Valid accuracy: 98.68
17:10:26 --- Epoch: 21	Train loss: 0.0333	Valid loss: 0.0392	Train accuracy: 99.15	Valid accuracy: 98.73
17:10:53 --- Epoch: 22	Train loss: 0.0319	Valid loss: 0.0373	Train accuracy: 99.16	Valid accuracy: 98.73
17:11:20 --- Epoch: 23	Train loss: 0.0308	Valid loss: 0.0367	Train accuracy: 99.19	Valid accuracy: 98.78
17:11:47 --- Epoch: 24	Train loss: 0.0294	Valid loss: 0.0393	Train accuracy: 99.18	Valid accuracy: 98.73
17:12:14 --- Epoch: 25	Train loss: 0.0281	Valid loss: 0.0359	Train accuracy: 99.26	Valid accuracy: 98.82
17:12:41 --- Epoch: 26	Train loss: 0.0272	Valid loss: 0.0363	Train accuracy: 99.30	Valid accuracy: 98.83
17:13:08 --- Epoch: 27	Train loss: 0.0260	Valid loss: 0.0355	Train accuracy: 99.27	Valid accuracy: 98.89
17:13:35 --- Epoch: 28	Train loss: 0.0251	Valid loss: 0.0345	Train accuracy: 99.37	Valid accuracy: 98.81
17:14:02 --- Epoch: 29	Train loss: 0.0241	Valid loss: 0.0358	Train accuracy: 99.32	Valid accuracy: 98.60
