17:35:10 --- Epoch: 0	Train loss: 0.3970	Valid loss: 0.1118	Train accuracy: 96.45	Valid accuracy: 96.72
17:35:39 --- Epoch: 1	Train loss: 0.0916	Valid loss: 0.0790	Train accuracy: 97.69	Valid accuracy: 97.56
17:36:09 --- Epoch: 2	Train loss: 0.0627	Valid loss: 0.0644	Train accuracy: 98.29	Valid accuracy: 98.09
17:36:38 --- Epoch: 3	Train loss: 0.0474	Valid loss: 0.0488	Train accuracy: 98.97	Valid accuracy: 98.41
17:37:08 --- Epoch: 4	Train loss: 0.0392	Valid loss: 0.0512	Train accuracy: 99.02	Valid accuracy: 98.45
17:37:37 --- Epoch: 5	Train loss: 0.0326	Valid loss: 0.0460	Train accuracy: 99.19	Valid accuracy: 98.45
17:38:07 --- Epoch: 6	Train loss: 0.0271	Valid loss: 0.0431	Train accuracy: 99.31	Valid accuracy: 98.63
17:38:36 --- Epoch: 7	Train loss: 0.0243	Valid loss: 0.0478	Train accuracy: 99.20	Valid accuracy: 98.55
17:39:06 --- Epoch: 8	Train loss: 0.0213	Valid loss: 0.0507	Train accuracy: 99.29	Valid accuracy: 98.48
17:39:35 --- Epoch: 9	Train loss: 0.0197	Valid loss: 0.0432	Train accuracy: 99.60	Valid accuracy: 98.73
17:40:05 --- Epoch: 10	Train loss: 0.0171	Valid loss: 0.0519	Train accuracy: 99.50	Valid accuracy: 98.51
17:40:34 --- Epoch: 11	Train loss: 0.0142	Valid loss: 0.0495	Train accuracy: 99.62	Valid accuracy: 98.40
17:41:04 --- Epoch: 12	Train loss: 0.0139	Valid loss: 0.0499	Train accuracy: 99.43	Valid accuracy: 98.73
17:41:33 --- Epoch: 13	Train loss: 0.0134	Valid loss: 0.0513	Train accuracy: 99.54	Valid accuracy: 98.67
17:42:03 --- Epoch: 14	Train loss: 0.0139	Valid loss: 0.0469	Train accuracy: 99.68	Valid accuracy: 98.60
17:42:32 --- Epoch: 15	Train loss: 0.0104	Valid loss: 0.0441	Train accuracy: 99.78	Valid accuracy: 98.78
17:43:01 --- Epoch: 16	Train loss: 0.0106	Valid loss: 0.0518	Train accuracy: 99.65	Valid accuracy: 98.62
17:43:31 --- Epoch: 17	Train loss: 0.0095	Valid loss: 0.0437	Train accuracy: 99.69	Valid accuracy: 98.75
17:44:00 --- Epoch: 18	Train loss: 0.0102	Valid loss: 0.0505	Train accuracy: 99.75	Valid accuracy: 98.61
17:44:30 --- Epoch: 19	Train loss: 0.0080	Valid loss: 0.0496	Train accuracy: 99.76	Valid accuracy: 98.64
17:44:59 --- Epoch: 20	Train loss: 0.0098	Valid loss: 0.0554	Train accuracy: 99.78	Valid accuracy: 98.61
17:45:29 --- Epoch: 21	Train loss: 0.0084	Valid loss: 0.0498	Train accuracy: 99.82	Valid accuracy: 98.83
17:45:58 --- Epoch: 22	Train loss: 0.0069	Valid loss: 0.0613	Train accuracy: 99.59	Valid accuracy: 98.55
17:46:28 --- Epoch: 23	Train loss: 0.0093	Valid loss: 0.0581	Train accuracy: 99.69	Valid accuracy: 98.67
17:46:57 --- Epoch: 24	Train loss: 0.0078	Valid loss: 0.0556	Train accuracy: 99.80	Valid accuracy: 98.56
17:47:26 --- Epoch: 25	Train loss: 0.0080	Valid loss: 0.0567	Train accuracy: 99.84	Valid accuracy: 98.66
17:47:56 --- Epoch: 26	Train loss: 0.0064	Valid loss: 0.0584	Train accuracy: 99.69	Valid accuracy: 98.59
17:48:25 --- Epoch: 27	Train loss: 0.0073	Valid loss: 0.0550	Train accuracy: 99.82	Valid accuracy: 98.74
17:48:55 --- Epoch: 28	Train loss: 0.0077	Valid loss: 0.0550	Train accuracy: 99.74	Valid accuracy: 98.68
17:49:24 --- Epoch: 29	Train loss: 0.0078	Valid loss: 0.0575	Train accuracy: 99.84	Valid accuracy: 98.65
