18:47:23 --- Epoch: 0	Train loss: 1.1514	Valid loss: 0.4072	Train accuracy: 88.42	Valid accuracy: 89.05
18:47:50 --- Epoch: 1	Train loss: 0.3455	Valid loss: 0.2759	Train accuracy: 91.52	Valid accuracy: 92.03
18:48:17 --- Epoch: 2	Train loss: 0.2510	Valid loss: 0.2023	Train accuracy: 93.69	Valid accuracy: 93.87
18:48:44 --- Epoch: 3	Train loss: 0.1902	Valid loss: 0.1543	Train accuracy: 95.22	Valid accuracy: 95.36
18:49:12 --- Epoch: 4	Train loss: 0.1485	Valid loss: 0.1219	Train accuracy: 96.12	Valid accuracy: 96.33
18:49:39 --- Epoch: 5	Train loss: 0.1207	Valid loss: 0.1017	Train accuracy: 96.86	Valid accuracy: 96.97
18:50:06 --- Epoch: 6	Train loss: 0.1014	Valid loss: 0.0859	Train accuracy: 97.38	Valid accuracy: 97.44
18:50:33 --- Epoch: 7	Train loss: 0.0877	Valid loss: 0.0789	Train accuracy: 97.66	Valid accuracy: 97.58
18:51:00 --- Epoch: 8	Train loss: 0.0775	Valid loss: 0.0687	Train accuracy: 97.93	Valid accuracy: 97.78
18:51:27 --- Epoch: 9	Train loss: 0.0695	Valid loss: 0.0633	Train accuracy: 98.15	Valid accuracy: 97.96
18:51:55 --- Epoch: 10	Train loss: 0.0633	Valid loss: 0.0595	Train accuracy: 98.29	Valid accuracy: 98.16
18:52:22 --- Epoch: 11	Train loss: 0.0583	Valid loss: 0.0553	Train accuracy: 98.42	Valid accuracy: 98.23
18:52:49 --- Epoch: 12	Train loss: 0.0540	Valid loss: 0.0532	Train accuracy: 98.57	Valid accuracy: 98.32
18:53:16 --- Epoch: 13	Train loss: 0.0506	Valid loss: 0.0517	Train accuracy: 98.64	Valid accuracy: 98.36
18:53:43 --- Epoch: 14	Train loss: 0.0475	Valid loss: 0.0486	Train accuracy: 98.74	Valid accuracy: 98.42
18:54:10 --- Epoch: 15	Train loss: 0.0446	Valid loss: 0.0448	Train accuracy: 98.80	Valid accuracy: 98.55
18:54:37 --- Epoch: 16	Train loss: 0.0422	Valid loss: 0.0448	Train accuracy: 98.82	Valid accuracy: 98.46
18:55:05 --- Epoch: 17	Train loss: 0.0402	Valid loss: 0.0432	Train accuracy: 98.91	Valid accuracy: 98.58
18:55:32 --- Epoch: 18	Train loss: 0.0382	Valid loss: 0.0413	Train accuracy: 99.01	Valid accuracy: 98.57
18:55:59 --- Epoch: 19	Train loss: 0.0364	Valid loss: 0.0418	Train accuracy: 99.00	Valid accuracy: 98.63
18:56:26 --- Epoch: 20	Train loss: 0.0348	Valid loss: 0.0393	Train accuracy: 99.06	Valid accuracy: 98.68
18:56:53 --- Epoch: 21	Train loss: 0.0332	Valid loss: 0.0399	Train accuracy: 99.11	Valid accuracy: 98.69
18:57:20 --- Epoch: 22	Train loss: 0.0318	Valid loss: 0.0368	Train accuracy: 99.17	Valid accuracy: 98.75
18:57:48 --- Epoch: 23	Train loss: 0.0308	Valid loss: 0.0371	Train accuracy: 99.18	Valid accuracy: 98.76
18:58:15 --- Epoch: 24	Train loss: 0.0296	Valid loss: 0.0396	Train accuracy: 99.18	Valid accuracy: 98.73
18:58:42 --- Epoch: 25	Train loss: 0.0282	Valid loss: 0.0361	Train accuracy: 99.28	Valid accuracy: 98.71
18:59:09 --- Epoch: 26	Train loss: 0.0273	Valid loss: 0.0361	Train accuracy: 99.32	Valid accuracy: 98.86
18:59:36 --- Epoch: 27	Train loss: 0.0260	Valid loss: 0.0352	Train accuracy: 99.27	Valid accuracy: 98.87
19:00:03 --- Epoch: 28	Train loss: 0.0254	Valid loss: 0.0352	Train accuracy: 99.37	Valid accuracy: 98.86
19:00:31 --- Epoch: 29	Train loss: 0.0242	Valid loss: 0.0366	Train accuracy: 99.28	Valid accuracy: 98.62
